userID,artistID,name,Label,IR,FriendsListening,FriendsRating
853,5640,Nitrominds,0,0.002097993913221655,0,0
1275,7266,Pete Townshend,1,0.004689732435332155,0,0
1649,300,Katy Perry,1,1.4401494257660419,3,2
552,3440,Ween,0,0.00020291857658031803,0,0
1707,1358,Judas Priest,1,0.0879756290090122,0,0
432,11326,"Arnaldo Antunes, Carlinhos Brown & Marisa Monte",0,0.003713488695605803,0,0
1572,302,P!nk,1,1.6072404414836723,7,3
1405,454,JĂłnsi,1,0.05476653971330421,0,0
1195,381,C.N.BLUE,0,0.001926148458173958,0,0
1941,1043,Boys Like Girls,1,0.187257240518289,0,0
965,294,Leona Lewis,1,0.5689855602668846,0,0
800,11194,Melleefresh & Deadmau5,0,0.0026331747884958804,0,0
328,462,Blue,0,0.014539030391054931,0,0
958,3635,Monty Python,0,0.0015927365761619302,0,0
99,1937,Michelle Williams,0,0.004246935844223895,0,0
410,6602,Mae,1,0.007978343628991635,0,0
863,9332,The Breeders,0,0.005325195540754952,0,0
125,8672,Ride,0,0.01273538717990022,0,0
1191,333,Avril Lavigne,1,0.3001901138372571,0,0
2100,2772,Blut aus Nord,1,0.1178994395678412,0,0
134,2548,Wanessa,1,0.071630762100516,4,2
606,3084,Sick Puppies,0,0.029202388902776048,0,0
710,1814,Sex Pistols,1,0.033639473652630626,0,0
561,602,Iron & Wine,0,0.03659520133851527,0,0
1312,9440,High on Fire,0,0.0017577429466749518,0,0
826,306,Black Eyed Peas,0,0.1750620748073783,4,2
713,151,Deep Forest,0,0.007486554876210704,0,0
1678,6229,Frightened Rabbit,0,0.006279222702788095,0,0
710,9468,Babes in Toyland,1,0.004638053381915216,0,0
1778,3082,Framing Hanley,0,0.012289956865175207,0,0
1420,173,Placebo,1,0.30864157641413503,1,1
788,1413,Genesis,1,0.020724968693289256,2,2
1470,231,Devendra Banhart,1,0.14402532369519033,0,0
37,3200,Cansei de Ser Sexy,0,0.07321111433828867,0,0
1828,290,Jordin Sparks,1,0.31164857866814777,0,0
218,1713,Dave Gahan,1,0.1038368224455831,2,2
1006,2481,The Birthday Party,0,0.0052459041092424,0,0
502,6887,AZ,0,0.008134254719802203,0,0
1478,291,Kelly Clarkson,1,0.9638665733886733,17,4
1950,4283,SarcĂłfago,0,0.002767430724803669,0,0
