userID,artistID,name,Label,IR,FriendsListening,FriendsRating
1734,462,Blue,1,0.042589196941021375,0,0
1671,2834,Lynyrd Skynyrd,1,0.11587746229743161,3,2
1519,2608,City and Colour,1,0.038583628354495816,0,0
776,2820,Sakura,0,0.0033051722979681973,1,1
29,951,Bon Jovi,1,0.0657130124489037,0,0
155,1551,As Blood Runs Black,0,0.005122720679425706,0,0
2010,3244,Deathstars,0,0.03429578563654109,0,0
690,300,Katy Perry,1,1.4616802528118267,16,4
59,1098,BjĂ¶rk,1,0.3132188920239964,6,3
753,3748,Hanson,1,0.01753620406359759,0,0
869,396,L'Arc~en~Ciel,0,0.005644548368674698,0,0
1157,1179,Billy Talent,1,0.19390341313171214,0,0
511,6540,Hans Zimmer & James Newton Howard,1,0.0008856202088092067,0,0
669,4125,Status Quo,0,0.006183991429391486,0,0
832,1113,Ayreon,1,0.035859619625660144,0,0
1674,173,Placebo,1,0.3249745356276731,0,0
743,428,The Libertines,1,0.09339322280159099,0,0
1619,6390,Bear McCreary,0,0.0018993099661362646,0,0
950,733,John Lennon,1,0.06991575868637093,0,0
56,1351,Tenacious D,0,0.04878466238887332,0,0
134,915,Alexandra Burke,1,0.08179991112787066,0,0
1557,2653,A Rocket to the Moon,0,0.004809506089224467,0,0
795,8582,Miss Kittin,0,0.004654899098010468,0,0
1311,1553,CĂ©U,0,0.008553458744143158,0,0
789,5503,The Orb,0,0.0025502004944732105,0,0
572,2341,Twisted Sister,0,0.018464436580228775,0,0
1809,1874,Hoobastank,1,0.07319675423794529,1,1
1994,1755,Chico Buarque,1,0.02262395874517468,0,0
464,6006,Trading Yesterday,0,0.004279084298786025,0,0
256,4271,Burzum,0,0.02162338958885496,0,0
1965,3109,Sneaker Pimps,0,0.0375821698800753,0,0
337,7493,Luke Vibert,0,0.0009960205971274172,0,0
1762,2600,We Are Scientists,0,0.033546260428390005,0,0
728,186,Blackfield,0,0.12823416339552135,0,0
229,350,Monrose,0,0.004920690719931501,0,0
496,56,Daft Punk,1,0.1762536301186971,1,1
82,488,Three Days Grace,0,0.08308686370119797,0,0
311,543,Nicole Scherzinger,0,0.08390652622539932,5,3
548,1091,AFI,0,0.044828713381277925,0,0
1003,1162,Flight of the Conchords,0,0.014969356571479481,0,0
731,1891,Thomas Dolby,0,0.006965887840128625,0,0
327,548,Ellie Goulding,1,0.17565448126067174,2,2
